Genetic_ID,Master_ID,continent,mt_hg,age
RISE509,RISE509,Asia,T2c1a2,-2782
RISE510,RISE510,Asia,J2a2a,-2660
RISE511,RISE511,Asia,J2a2a,-2794
RISE507,RISE507,Asia,U5a1a1,-3122
RISE508,RISE508,Asia,U5a1a1,-3133
I0707,I0707,Asia,K1a4,-6350
I0708,I0708,Asia,N1b1a,-6350
I0709,I0709,Asia,U3,-6350
I0736,I0736,Asia,N1a1a1a,-6350
I0744,I0744,Asia,J1c11,-6350
I0745,I0745,Asia,U8b1b1,-6350
I0746,I0746,Asia,K1a or K1a1,-5980
I1096,I1096,Asia,N1a1a1,-6350
I1097,I1097,Asia,W1-T119C,-6350
I1098,I1098,Asia,X2d2,-6350
I1099,I1099,Asia,T2b,-6350
I1100,I1100,Asia,K1a or K1a6,-6350
I1101,I1101,Asia,T2b,-6350
I1102,I1102,Asia,K1a3a,-6350
I1103,I1103,Asia,K1b1b1,-6350
I1579,I1579,Asia,K1a-C150T,-6350
I1580,I1580,Asia,H5,-6350
I1581,I1581,Asia,U3,-6350
I1583,I1583,Asia,K1a2,-6331
I1585,I1585,Asia,J1 or J1c,-6350
I0723,I0723,Asia,X2m2,-6000
I0724,I0724,Asia,K1a4,-6000
I0725,I0725,Asia,N1a1a1,-6000
I0726,I0726,Asia,H or H5-C16192T,-6000
I0727,I0727,Asia,K1a2,-6000
RISE500,RISE500,Asia,U4d1,-1600
RISE503,RISE503,Asia,U2e2,-1619
RISE505,RISE505,Asia,U4a1b,-1686
RISE512,RISE512,Asia,U2e1,-1372
RISE94,RISE94,Europe,K1a2a,-2546
RISE560,RISE560,Europe,U5a1a1,-2250
I0059,I0059,Europe,H1,-2238
I0559,I0559,Europe,HV,-3590
I0551,I0551,Europe,U3a1,-3212
RISE00,RISE00,Europe,H5a1,-2462
I0049,I0049,Europe,X2b4,-2337
I0103,I0103,Europe,W6a,-2523
I0104,I0104,Europe,U4b1a1a1,-2428
I0106,I0106,Europe,T2a1b1,-2337
I1532,I1532,Europe,J1c2e,-2275
I1538,I1538,Europe,J1c5,-2275
I1539,I1539,Europe,J1c1b1a,-2458
I1540,I1540,Europe,J1c5,-2275
I1542,I1542,Europe,J2a2a,-2275
I1544,I1544,Europe,K2b2,-2275
RISE446,RISE446,Europe,U5b1c2,-2647
RISE434,RISE434,Europe,U4,-2755
RISE435,RISE435,Europe,J1b1a1,-2680
RISE436,RISE436,Europe,U5b1c2,-2724
