genetic_id,master_id,continent,mt_hg,age
I18514.AG,I18514,Africa,H2a,800
I0967.AG,I0967,South America,B2,1185
I12561,I12561,Europe,H1,-600
I15531.AG,I15531,Europe,H10a1,355
I7550,I7550,Europe,K1b1a,-4000
I2262.AG,I2262,South America,C1b,400
I5656,I5656,Europe,T2g2,-2250
I7635,I7635,Europe,H1c,-2086
I18839.AG,I18839,Europe,H3,-250
I1577.AG.BY,I1577,Europe,U5,-28250
I2252.AG,I2252,South America,D1,925
I12144.AG,I12144,Asia,U2,-900
CL92,CL92,Europe,H,725
LRV_156,LRV_156,Europe,H15a,200
I6124.AG,I6124,Asia,H14a,-2092
I4627,I4627,Europe,U4a1,-4114
I16441.AG,I16441,Europe,J1c2e,-379
I19652.AG,I19652,Europe,J1c2a2,-297
OBKR_6,OBKR_6,Europe,V7,-1966
I6542,I6542,Europe,U5b1i,-2125
I4582,I4582,Europe,K1,-6747
I1540,I1540,Europe,J1c5,-2275
I11902.AG,I11902,Europe,H,-4162
I5729.AG,I5729,Europe,V,-970
I25525.AG,I25525,Europe,J1c3j,-600
LICOL53,LICOL53,Europe,H11a,685
I5236,I5236,Europe,U5a2d,-8058
I4181.AG,I4181,Europe,H,-5100
LRV_138,LRV_138,Europe,N1a1a1a,200
I19869.AG,I19869,Europe,T1a1,-93
LHSZ28,LHSZ28,Europe,H3b5,550
I19037.AG,I19037,Europe,J1b1a1b,-250
I1504,I1504,Europe,K1a1a,-1190
I3390.AG,I3390,Europe,U5a2+16294,-1650
I15494.AG,I15494,Europe,H5a2,200
I2794.AG,I2794,Europe,K1a+195,-5614
LICOL102,LICOL102,Europe,H1,685
WEHR_1192SkA,WEHR_1192SkA,Europe,K1a4a1,-2240
I4531.AG,I4531,Asia,U7b,285
N44,N44,Europe,U5a1b2,-2455
I3529,I3529,Europe,I3a,-2350
I1017.AG,I1017,Europe,H6b1,-1837
I0057,I0057,Europe,N1a1,-5120
I2418,I2418,Europe,K1a4a1,-2328
I15541.AG,I15541,Europe,K1a4,900
I5891,I5891,Europe,U4d,-5388
I17475.AG,I17475,Africa,L2a1d1,825
I2369,I2369,Europe,J2a1a1,-3235
I7281,I7281,Europe,H5a1g,-2350
BS_1,BS_1,Asia,X2b,-350
I8130,I8130,Europe,U5b2b,-5998
Karos1/3286,Karos1/3286,Europe,T2b4h,920
I10377.AG,I10377,Europe,H,-600
I4323.AG,I4323,Asia,U2e1'2'3,-1672
ILK001,ILK001,Europe,J1c3,-2802
Latvia_MN1.SG,Latvia_MN1,Europe,U4a1,-4121
I13888.AG,I13888,Europe,K1b1a,-3651
I25519.AG,I25519,Europe,H+16311,-200
Bt_2,Bt_2,Asia,U2e2a,-350
I5685.AG,I5685,Europe,H1e5a,-647
I0422,I0422,Europe,T1a1,-1525
I17885.AG,I1788,Asia,H6b2,-1997
DA89,DA89,Asia,A14,686
PCA0051,PCA0051,Europe,K2a,135
I4529.AG,I4529,Asia,D4e1,234
DA4,DA4,Asia,H5a1+152,-750
I3490,I3490,Europe,HV0b,-1500
I3387.AG,I3387,Europe,J2a2a,-2775
I18657.AG,I18657,Europe,T1a,-5218
I5666,I5666,Europe,U4a2c,-2200
I18832.AG,I18832,Europe,U5a1b,-260
LRV_112,LRV_112,Europe,H50,200
I0562.AG,I0562,Asia,A16,-350
I24026.AG,I24026,Europe,H+16311,-5141
I16601.AG,I16601,Europe,H17,-132
I19391.AG,I19391,Africa,L0a2a2a,1325
I3772.AG,I3772,Asia,W3a1,-961
J12_3,J12_3,Asia,U7,-350
I25190.AG,I25190,North America,E2a,1334
I13768_d.AG,I13768,Asia,D4j1,-1124
I16424.AG,I16424,Europe,R1b,-2156
I15232.TW,I15232,Europe,U4d2,838
I2635,I2635,Europe,U5b1+16189+16192,-3520
I13751.AG,I13751,Europe,H2a3b,-225
I3141,I3141,Europe,H15b1,-3000
I11567.AG,I11567,Europe,K1a2a,656
I13778.AG,I13778,Europe,H1+16311,-1284
OBKR_76,OBKR_76,Europe,K1a,-1899
I12449.AG,I12449,Asia,U1a1c1d,-900
I8364,I8364,Europe,J2b1a2a,-2638
I20225.AG,I20225,Asia,K1a4,-615
I3758,I3758,Europe,U5b1+16189+@16192,-284
I14158.AG,I14158,Europe,J1c,-3950
I2983.AG,I2983,Europe,U2e2a1c,-307
I18794.AG,I18794,Europe,U5a2b,-2807
I25175.AG,I25175,Europe,K1a1,-5150
I5244,I5244,Europe,K1f,-8835
JK2981,JK2981,Africa,M1a1e,-388
NLHFON444,NLHFON444,Europe,H7,550
I7421.AG,I7421,Asia,J1b1b1,-1840
I3567.AG,I3567,Europe,J1c3b,-87
DA31,DA31,Europe,HV0a,-1100
I2318,I2318,Europe,H2,-3995
I18732.AG,I18732,Europe,HV24,-1150
DA69,DA69,Asia,U5b2a1a2,358
NLHFON468,NLHFON468,Europe,J2a1a1a,550
S41,S41,Asia,F1d,250
I1733,I1733,Europe,U4b,-8250
PCA0029,PCA0029,Europe,X2c1,192
I13864.AG,I13864,Europe,H3p,1325
PCA0061,PCA0061,Europe,H1ak,170
I19323.AG,I19323,Asia,HV1a'b'c,-1440
I5376,I5376,Europe,H6a1b,-2298
I12083.AG,I12083,Europe,J2b1a1,-1150
I20058.AG,I20058,Europe,T1a1,-1250
I10769.AG,I10769,Asia,T2c1+146,-1500
I4131.AG,I4131,Europe,H1aj,-2355
I1400.AG,I1400,South America,B2,1345
I1096,I1096,Asia,N1a1a1,-6350
RA59,RA59,Europe,H1+16311,-2880
JK2893,JK2893,Africa,H5,-784
I20799.AG,I20799,Europe,U5a2e,750
I21901.AG,I21901,Europe,H+16291,-5200
RISE563,RISE563,Europe,K1c1,-2542
I17451.AG,I17451,Africa,H2a,850
I10853,I10853,Europe,U4a1,1071
I3005.AG,I3005,Europe,K1a4a1,-3707
I7639,I7639,Europe,U5a1,-1848
I14692.AG,I14692,Europe,H1a,-950
I0430,I0430,Europe,H3g,-1725
I13578.AG,I13578,Europe,K1a2,-1312
I6757.AG,I6757,Europe,J1c9,-3543
BerryAuBac1,BerryAuBac1,Europe,U5b1a,-5295
I14773.AG,I14773,Europe,C5a,-3675
I1357.AG,I1357,South America,B2l,1025
I7780.AG,I7780,Europe,C4a1a3,-2665
I16191.AG,I16191,Asia,U7a,-658
RISE1173,RISE1173,Europe,HV0a,-2828
I3243,I3243,Europe,U5a1a2b,-2350
I0983.AG,I0983,Europe,J1b1a3,-1875
NLIAR13,NLIAR13,Europe,U5a1b1,750
I1118.AG,I1118,North America,D2a1a,1635
I7869.AG,I7869,Europe,H55,-5003
I8141,I8141,Europe,K1a1b1,-2100
I19411.AG,I19411,Africa,L1c3a1b,1562
WEHR_1564,WEHR_1564,Europe,V,-1956
I15042.AG,I15042,Europe,H26a1,-275
I33893.TW,I33893,Europe,H5a3a2,400
I5695.AG,I5695,Europe,N1a1a1,-1346
CL121,CL121,Europe,T2b,725
I20597.AG,I20597,Europe,H5b1,570
I5885,I5885,Europe,U5b2b,-6160
I11589.AG,I11589,Europe,T2b2b,500
I8154,I8154,Europe,U5b1,-2700
I20440.AG,I20440,Asia,W6b,-1185
I3488,I3488,Europe,HV0+195,-1600
I2301,I2301,Europe,H1b,-3100
I26746.AG,I26746,Europe,H9a,701
I1479.AG,I1479,South America,R,1400
I2337.AG,I2337,Asia,N,-3572
I12647,I12647,Europe,H1ak1,1200
I23550.AG,I23550,Africa,M30d1,1325
UNTA85_1343,UNTA85_1343,Europe,J1c2,-2273
LIAV_11,LIAV_11,Europe,H6a1a,-500
I24889.AG,I24889,Europe,V1,-5237
I20323.AG,I20323,Asia,K1b1c,1475
I4949,I4949,Europe,T2b,-3502
I25349.AG,I25349,Europe,T2+16189,-5031
Karos1/1,Karos1/1,Europe,H1b2,920
I0100,I0100,Europe,N1a1a1a,-5027
I0246,I0246,Europe,C1,-2198
I2533,I2533,Europe,J1c5,-5428
I6252.AG,I6252,Africa,H2a,795
RISE395,RISE395,Asia,U2e1h,-1858
I6428.AG,I6428,Asia,K1a,-1027
I14326.AG,I14326,Europe,H1c,-2958
I26774.AG,I26774,Europe,J1c2,-1375
I2055.AG,I2055,Europe,R1a,-4558
I13223.AG,I13223,Asia,U2b,-900
I11305,I11305,Europe,J1c1b,-2950
I26708.AG,I26708,Europe,H+152,100
I4666,I4666,Europe,H40,-6067
I24570.AG,I24570,North America,E1a1b,1550
I17890.AG,I17890,South America,B2j,-285
I19991.AG,I19991,Europe,U5b1g,-100
I15071.AG,I15071,Europe,U5b1b1+@16192,-675
I5869,I5869,Europe,U4b1b1,-5250
I13393.AG,I13393,Europe,H46,-700
I24591.AG,I24591,North America,E1a1b,1550
I14985.AG,I14985,Europe,H5c,-275
I13787.AG,I13787,Europe,H26c,-1008
I2763,I2763,Europe,T2,-3300
DA205,DA205,Asia,J1c,1100
I7412.AG,I7412,Asia,H+16311,-1692
I13028.AG,I13028,Europe,H1a,-2300
R18_1,R18_1,Europe,K2a,-5381
I7626,I7626,Europe,T2b,-1262
I3083.AG,I3083,Europe,R,-283
Ukraine_N1.SG,Ukraine_N1,Europe,U5b2,-5350
LHSZ33,LHSZ33,Europe,H5a1j,550
DA179,DA179,Asia,D4,1300
I6612,I6612,Europe,J1c3,-2212
I19135.AG,I19135,Africa,R0a1a,850
I6230.AG,I6230,Asia,U2e1h,-181
LHHEG2,LHHEG2,Europe,HV1a2,550
SZ12,SZ12,Europe,W6,508
I12482.AG,I12482,Asia,I1c1,-3100
I14000.AG,I14000,Asia,D4j,-5530
I8131,I8131,Europe,J2b1,-2518
I5661,I5661,Europe,K1b1b1,-2250
Karos1/2,Karos1/2,Europe,H1b2,920
I8582.AG,I8582,Europe,H2a1e1,-2075
I3712,I3712,Europe,U4b1a,-5442
I10391.AG,I10391,Europe,J1c,-300
I16538.AG,I16538,Europe,J1c3,-2025
JK2872,JK2872,Africa,HV1a2a,106
I1985.AG,I1985,Asia,M65a+@16311,-989
VAD001,VAD001,Europe,U5b1,-1742
I1524.AG,I1524,Europe,A2a,1045
I7224.AG,I7224,Europe,U1a1a,-409
I23212.AG,I23212,Europe,U5a1b1,-1950
JK2141,JK2141,Africa,J2a2e,-281
LHSZ43,LHSZ43,Europe,H1e,550
I6579,I6579,Europe,K1a4a1g,-2190
I10382.AG,I10382,Europe,H1n+146,-600
I16741.AG,I16741,Europe,HV4a1+16291,775
I13685.AG,I13685,Europe,U5a1b1e,-315
I15112.AG,I15112,North America,C1b2,1248
Ala_4,Ala_4,Asia,T,-350
I13794.AG,I13794,Europe,H2a,-1100
I2703.AG,I2703,North America,A2,1350
I4887,I4887,Europe,K1a2c,-2120
I3085,I3085,Europe,K1a+195,-3182
I0104,I0104,Europe,U4b1a1a1,-2428
I20987.AG,I20987,Europe,U5b2b3,-226
I20517.AG,I20517,Europe,H26c,-1050
LHSZ27A1,LHSZ27A1,Europe,X2+225,550
I0013,I0013,Europe,U5a1,-5801
arm9,arm9,Asia,H15a1,-5750
E09568_d,E09568_d,Europe,U5b2b,-2335
PCA0032,PCA0032,Europe,T2n,100
LHSZ19,LHSZ19,Europe,HV,550
I7675,I7675,Europe,U3a1,793
RISE555,RISE555,Europe,N1a1a-T152C,-2677
